Id,Date,Schl,Loc,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
314,2013-12-30,Gonzaga,,San Francisco,W 69-41,200,25,58,.431,17,35,.486,8,23,.348,11,20,.550,69,14,55,.255,8,34,.235,6,21,.286,7,17,.412,41
315,2013-12-28,Gonzaga,,Santa Clara,W 74-60,200,23,48,.479,18,35,.514,5,13,.385,23,31,.742,74,24,51,.471,18,33,.545,6,18,.333,6,12,.500,60
316,2013-12-21,Gonzaga,N,Kansas State,L 62-72,200,24,50,.480,17,29,.586,7,21,.333,7,15,.467,62,24,54,.444,19,36,.528,5,18,.278,19,25,.760,72
317,2013-12-14,Gonzaga,N,South Alabama,W 68-59,200,26,64,.406,24,50,.480,2,14,.143,14,21,.667,68,19,59,.322,12,42,.286,7,17,.412,14,19,.737,59
318,2013-12-10,Gonzaga,@,West Virginia,W 80-76,200,27,61,.443,20,41,.488,7,20,.350,19,23,.826,80,25,67,.373,16,40,.400,9,27,.333,17,22,.773,76
319,2013-12-07,Gonzaga,,New Mexico St.,W 80-68,200,33,68,.485,29,58,.500,4,10,.400,10,16,.625,80,25,59,.424,19,42,.452,6,17,.353,12,18,.667,68
320,2013-12-01,Gonzaga,,Coppin State,W 86-51,200,31,62,.500,19,36,.528,12,26,.462,12,21,.571,86,18,56,.321,16,38,.421,2,18,.111,13,17,.765,51
321,2013-11-27,Gonzaga,N,Arkansas,W 91-81,200,30,55,.545,18,35,.514,12,20,.600,19,27,.704,91,31,72,.431,27,51,.529,4,21,.190,15,19,.789,81
322,2013-11-26,Gonzaga,@,Chaminade,W 113-81,200,46,66,.697,33,43,.767,13,23,.565,8,11,.727,113,26,61,.426,18,36,.500,8,25,.320,21,25,.840,81
323,2013-11-25,Gonzaga,N,Dayton,L 79-84,200,26,54,.481,21,35,.600,5,19,.263,22,25,.880,79,27,59,.458,18,38,.474,9,21,.429,21,35,.600,84
324,2013-11-21,Gonzaga,,Washington St.,W 90-74,200,33,59,.559,20,36,.556,13,23,.565,11,18,.611,90,25,56,.446,16,28,.571,9,28,.321,15,21,.714,74
325,2013-11-17,Gonzaga,,Oakland,W 82-67,200,28,51,.549,17,31,.548,11,20,.550,15,18,.833,82,22,45,.489,11,25,.440,11,20,.550,12,15,.800,67
326,2013-11-11,Gonzaga,,Colorado State,W 93-61,200,34,59,.576,20,28,.714,14,31,.452,11,16,.688,93,18,56,.321,13,39,.333,5,17,.294,20,28,.714,61
327,2013-11-09,Gonzaga,,Bryant,W 100-76,200,36,67,.537,29,48,.604,7,19,.368,21,28,.750,100,27,60,.450,23,39,.590,4,21,.190,18,23,.783,76
328,2013-03-23,Gonzaga,N,Wichita State,L 70-76,200,21,59,.356,13,36,.361,8,23,.348,20,29,.690,70,25,50,.500,11,22,.500,14,28,.500,12,18,.667,76
329,2013-03-21,Gonzaga,N,Southern,W 64-58,200,23,55,.418,15,35,.429,8,20,.400,10,15,.667,64,18,46,.391,8,23,.348,10,23,.435,12,18,.667,58
330,2013-03-11,Gonzaga,N,Saint Mary's,W 65-51,200,25,48,.521,23,39,.590,2,9,.222,13,16,.813,65,20,56,.357,13,29,.448,7,27,.259,4,9,.444,51
331,2013-03-09,Gonzaga,N,Loyola Marymount,W 66-48,200,20,46,.435,15,32,.469,5,14,.357,21,31,.677,66,15,49,.306,10,29,.345,5,20,.250,13,19,.684,48
332,2013-03-02,Gonzaga,,Portland,W 81-52,200,31,63,.492,23,40,.575,8,23,.348,11,17,.647,81,17,59,.288,9,39,.231,8,20,.400,10,14,.714,52
333,2013-02-28,Gonzaga,@,BYU,W 70-65,200,22,53,.415,16,23,.696,6,30,.200,20,34,.588,70,23,63,.365,17,46,.370,6,17,.353,13,22,.591,65
334,2013-02-23,Gonzaga,,San Diego,W 81-50,200,30,55,.545,22,36,.611,8,19,.421,13,17,.765,81,15,42,.357,13,28,.464,2,14,.143,18,28,.643,50
335,2013-02-20,Gonzaga,,Santa Clara,W 85-42,200,33,58,.569,26,41,.634,7,17,.412,12,17,.706,85,16,53,.302,12,36,.333,4,17,.235,6,10,.600,42
336,2013-02-16,Gonzaga,@,San Francisco,W 71-61,200,27,58,.466,24,42,.571,3,16,.188,14,18,.778,71,21,57,.368,14,34,.412,7,23,.304,12,16,.750,61
337,2013-02-14,Gonzaga,@,Saint Mary's,W 77-60,200,24,48,.500,15,31,.484,9,17,.529,20,24,.833,77,23,58,.397,11,23,.478,12,35,.343,2,5,.400,60
338,2013-02-09,Gonzaga,,Loyola Marymount,W 74-55,200,24,47,.511,19,32,.594,5,15,.333,21,30,.700,74,17,57,.298,14,41,.341,3,16,.188,18,22,.818,55
339,2013-02-07,Gonzaga,,Pepperdine,W 82-56,200,26,58,.448,14,31,.452,12,27,.444,18,24,.750,82,17,47,.362,10,28,.357,7,19,.368,15,21,.714,56
340,2013-02-02,Gonzaga,@,San Diego,W 65-63,200,25,57,.439,21,49,.429,4,8,.500,11,16,.688,65,26,60,.433,20,39,.513,6,21,.286,5,9,.556,63
341,2013-01-31,Gonzaga,@,Loyola Marymount,W 88-43,200,31,57,.544,18,36,.500,13,21,.619,13,26,.500,88,14,56,.250,6,30,.200,8,26,.308,7,12,.583,43
342,2013-01-26,Gonzaga,,San Francisco,W 66-52,200,26,58,.448,18,38,.474,8,20,.400,6,11,.545,66,20,51,.392,11,27,.407,9,24,.375,3,8,.375,52
343,2013-01-24,Gonzaga,,BYU,W 83-63,200,29,51,.569,23,33,.697,6,18,.333,19,23,.826,83,21,59,.356,17,42,.405,4,17,.235,17,22,.773,63
344,2013-01-19,Gonzaga,@,Butler,L 63-64,200,24,51,.471,20,37,.541,4,14,.286,11,15,.733,63,22,44,.500,14,25,.560,8,19,.421,12,23,.522,64
345,2013-01-17,Gonzaga,@,Portland,W 71-49,200,27,58,.466,18,37,.486,9,21,.429,8,11,.727,71,18,44,.409,15,34,.441,3,10,.300,10,13,.769,49
346,2013-01-10,Gonzaga,,Saint Mary's,W 83-78,200,32,59,.542,28,45,.622,4,14,.286,15,18,.833,83,28,61,.459,21,34,.618,7,27,.259,15,23,.652,78
347,2013-01-05,Gonzaga,@,Santa Clara,W 81-74,200,26,47,.553,24,38,.632,2,9,.222,27,30,.900,81,25,61,.410,18,38,.474,7,23,.304,17,22,.773,74
348,2013-01-03,Gonzaga,@,Pepperdine,W 78-62,200,23,53,.434,16,34,.471,7,19,.368,25,29,.862,78,24,55,.436,22,43,.512,2,12,.167,12,16,.750,62
349,2012-12-31,Gonzaga,@,Oklahoma State,W 69-68,200,24,50,.480,18,34,.529,6,16,.375,15,18,.833,69,26,55,.473,17,32,.531,9,23,.391,7,11,.636,68
350,2012-12-28,Gonzaga,,Baylor,W 94-87,200,31,59,.525,22,41,.537,9,18,.500,23,34,.676,94,33,64,.516,23,40,.575,10,24,.417,11,13,.846,87
351,2012-12-19,Gonzaga,,Campbell,W 74-52,200,25,51,.490,22,38,.579,3,13,.231,21,25,.840,74,18,55,.327,11,41,.268,7,14,.500,9,15,.600,52
352,2012-12-15,Gonzaga,N,Kansas State,W 68-52,200,24,51,.471,21,39,.538,3,12,.250,17,20,.850,68,16,48,.333,10,30,.333,6,18,.333,14,19,.737,52
353,2012-12-08,Gonzaga,,Illinois,L 74-85,200,24,49,.490,19,31,.613,5,18,.278,21,27,.778,74,30,60,.500,19,34,.559,11,26,.423,14,17,.824,85
